830,,,,,
839,,,,,
903,,,,,
958,,,,,
833,,,,,
923,,,,,
949,,,,,
1102,,,,,
712,,,,,
721,,,,,
877,,,,,
916,,,,,
559,,,,,
813,,,,,
859,,,,,
659,,,,,
743,,,,,
856,,,,,
916,,,,,
649,,,,,
702,,,,,
835,,,,,
906,,,,,
941,,,,,
1000,,,,,
781,,,,,
810,,,,,
928,,,,,
1116,,,,,
732,,,,,
753,,,,,
929,,,,,
603,,,,,
757,,,,,
829,,,,,
953,,,,,
765,,,,,
673,,,,,
608,,,,,
872,,,,,
947,,,,,
705,,,,,
902,,,,,
738,,,,,
909,,,,,
630,,,,,
848,,,,,
874,,,,,
811,,,,,
934,,,,,
590,,,,,
1126,,,,,
801,,,,,
768,,,,,
883,,,,,
846,,,,,
866,,,,,
877,,,,,
1050,,,,,
745,,,,,
1074,,,,,
1034,,,,,
840,,,,,
928,,,,,
775,,,,,
861,,,,,
992,,,,,
844,,,,,
836,,,,,
1199,,,,,
646,,,,,
841,,,,,
824,,,,,
1019,,,,,
605,,,,,
861,,,,,
992,,,,,
946,,,,,
782,,,,,
720,,,,,
781,,,,,
867,,,,,
769,,,,,
736,,,,,
668,,,,,
919,,,,,
955,,,,,
690,,,,,
921,,,,,
810,,,,,
895,,,,,
880,,,,,
1153,,,,,
859,,,,,
745,,,,,
802,,,,,
732,,,,,
1027,,,,,
823,,,,,100
820,844.31,129.1423688,12.91423688,,
