33
nothing
nothing
30
68
39
nothing
nothing
nothing
nothing
nothing
nothing
55
nothing
50
64
nothing
47
nothing
nothing
45
nothing
28
60
nothing
nothing
30
nothing
nothing
nothing
59
nothing
59
57
42
72
47
52
nothing
51
nothing
64
nothing
nothing
46
35
nothing
63
51
51
44
nothing
nothing
nothing
nothing
37
40
nothing
60
62
nothing
49
31
nothing
50
48
nothing
35
36
57
58
39
nothing
41
39
68
36
nothing
nothing
nothing
40
71
57
nothing
49
nothing
nothing
nothing
61
52
58
59
nothing
nothing
nothing
42
38
nothing
47
49
